customer_id,segment,revenue,response_time
CUST-1000,Enterprise,500,1.5
CUST-1001,SMB,520,1.9
CUST-1002,Enterprise,540,2.3
CUST-1003,SMB,560,2.7
CUST-1004,Enterprise,580,3.1
CUST-1005,SMB,600,3.5
CUST-1006,Enterprise,620,3.9
CUST-1007,SMB,640,4.3
CUST-1008,Enterprise,660,4.7
CUST-1009,SMB,680,5.1
CUST-1010,Enterprise,700,5.5
CUST-1011,SMB,720,5.9
CUST-1012,Enterprise,740,6.3
CUST-1013,SMB,760,6.7
CUST-1014,Enterprise,780,7.1
CUST-1015,SMB,800,7.5
CUST-1016,Enterprise,820,7.9
CUST-1017,SMB,840,8.3
CUST-1018,Enterprise,860,8.7
CUST-1019,SMB,880,9.1
CUST-1020,Enterprise,900,9.5
CUST-1021,SMB,920,9.9
CUST-1022,Enterprise,940,10.3
CUST-1023,SMB,960,10.7
CUST-1024,Enterprise,980,11.1
CUST-1025,SMB,1000,11.5
CUST-1026,Enterprise,1020,11.9
CUST-1027,SMB,1040,12.3
CUST-1028,Enterprise,1060,12.7
CUST-1029,SMB,1080,13.1
CUST-1030,Enterprise,1100,13.5
CUST-1031,SMB,1120,13.9
CUST-1032,Enterprise,1140,14.3
CUST-1033,SMB,1160,14.7
CUST-1034,Enterprise,1180,15.1
CUST-1035,SMB,1200,15.5
CUST-1036,Enterprise,1220,15.9
CUST-1037,SMB,1240,16.3
CUST-1038,Enterprise,1260,16.7
CUST-1039,SMB,1280,17.1
CUST-1040,Enterprise,1300,17.5
CUST-1041,SMB,1320,17.9
CUST-1042,Enterprise,1340,18.3
CUST-1043,SMB,1360,18.7
CUST-1044,Enterprise,1380,19.1
CUST-1045,SMB,1400,19.5
CUST-1046,Enterprise,1420,19.9
CUST-1047,SMB,1440,20.3
CUST-1048,Enterprise,1460,20.7
CUST-1049,SMB,1480,21.1
